id,date,new_cases
1,2021/6/1,193
2,2021/6/2,245
3,2021/6/3,193
4,2021/6/4,311
5,2021/6/5,216
6,2021/6/6,211
7,2021/6/7,236
8,2021/6/8,195
9,2021/6/9,413
10,2021/6/10,211
11,2021/6/11,213
12,2021/6/12,289
13,2021/6/13,293
14,2021/6/14,251
15,2021/6/15,423
16,2021/6/16,491
17,2021/6/17,356
18,2021/6/18,358
19,2021/6/19,471
20,2021/6/20,281
21,2021/6/21,272
22,2021/6/22,252
23,2021/6/23,217
24,2021/6/24,334
25,2021/6/25,214
26,2021/6/26,788
27,2021/6/27,415
28,2021/6/28,396
29,2021/6/29,371
30,2021/6/30,545
31,2021/7/1,675
32,2021/7/2,394
33,2021/7/3,1189
34,2021/7/4,951
35,2021/7/5,1151
36,2021/7/6,1129
37,2021/7/7,1144
38,2021/7/8,1425
39,2021/7/9,1798
40,2021/7/10,1862
41,2021/7/11,2118
42,2021/7/12,2187
43,2021/7/13,2744
44,2021/7/14,2831
45,2021/7/15,4149
46,2021/7/16,4114
47,2021/7/17,4711
48,2021/7/18,4843
49,2021/7/19,4335
50,2021/7/20,5427
51,2021/7/21,5537
52,2021/7/22,7125
53,2021/7/23,8688
54,2021/7/24,7956
55,2021/7/25,6261
56,2021/7/26,5174
57,2021/7/27,11774
58,2021/7/28,6519
59,2021/7/29,9765
60,2021/7/30,7717
61,2021/7/31,8938
62,2021/8/1,7447
63,2021/8/2,1
64,2021/8/3,16954
65,2021/8/4,7295
66,2021/8/5,7311
67,2021/8/6,4315
68,2021/8/7,12275
69,2021/8/8,9914
70,2021/8/9,9334
71,2021/8/10,8143
72,2021/8/11,8616
73,2021/8/12,5125
74,2021/8/13,9181
75,2021/8/14,9716
76,2021/8/15,9581
77,2021/8/16,8652
78,2021/8/17,9615
79,2021/8/18,8811
80,2021/8/19,11511
81,2021/8/20,11657
82,2021/8/21,13439
83,2021/8/22,11352
84,2021/8/23,11397
85,2021/8/24,11811
86,2021/8/25,12196
87,2021/8/26,11575
88,2021/8/27,17428
89,2021/8/28,12113
90,2021/8/29,12796
91,2021/8/30,14224
92,2021/8/31,12617
93,2021/9/1,11434
94,2021/9/2,13197
95,2021/9/3,14922
96,2021/9/4,9521
97,2021/9/5,13137
98,2021/9/6,12481
99,2021/9/7,14218
100,2021/9/8,12681
101,2021/9/9,12421
102,2021/9/10,13321
103,2021/9/11,11932
104,2021/9/12,12126
105,2021/9/13,11172
106,2021/9/14,11518
107,2021/9/15,11585
108,2021/9/16,11489
109,2021/9/17,11521
110,2021/9/18,9373
111,2021/9/19,11141
112,2021/9/20,8681
113,2021/9/21,11692
114,2021/9/22,11527
115,2021/9/23,9472
116,2021/9/24,8537
117,2021/9/25,9716
118,2021/9/26,11111
119,2021/9/27,9362
120,2021/9/28,4589
121,2021/9/29,8758
122,2021/9/30,11357
123,2021/10/1,6957
124,2021/10/2,5491
125,2021/10/3,5376
126,2021/10/4,5383
127,2021/10/5,4363
128,2021/10/6,4363
129,2021/10/7,4151
130,2021/10/8,4816
131,2021/10/9,4491
132,2021/10/10,3528
133,2021/10/11,3619
134,2021/10/12,2949
135,2021/10/13,3461
136,2021/10/14,4151
137,2021/10/15,3797
138,2021/10/16,3221
139,2021/10/17,3193
140,2021/10/18,3168
141,2021/10/19,3134
142,2021/10/20,3646
143,2021/10/21,3636
144,2021/10/22,3985
145,2021/10/23,3373
146,2021/10/24,4145
147,2021/10/25,3639
148,2021/10/26,3595
149,2021/10/27,4411
150,2021/10/28,4892
151,2021/10/29,4899
152,2021/10/30,5227
153,2021/10/31,5519
154,2021/11/1,5598
155,2021/11/2,5637
156,2021/11/3,7116
157,2021/11/4,6581
158,2021/11/5,7514
159,2021/11/6,7491
160,2021/11/7,7646
161,2021/11/8,7988
162,2021/11/9,8133
163,2021/11/10,7931
164,2021/11/11,8162
165,2021/11/12,8982
166,2021/11/13,8467
167,2021/11/14,8176
168,2021/11/15,8616
169,2021/11/16,11259
170,2021/11/17,9849
171,2021/11/18,11223
172,2021/11/19,9625
173,2021/11/20,9531
174,2021/11/21,9889
175,2021/11/22,11321
176,2021/11/23,11132
177,2021/11/24,11811
178,2021/11/25,12451
179,2021/11/26,13119
180,2021/11/27,16167
181,2021/11/28,12936
182,2021/11/29,13771
183,2021/11/30,13972
184,2021/12/1,14518
185,2021/12/2,13698
186,2021/12/3,14492
187,2021/12/4,13998
188,2021/12/5,14314
189,2021/12/6,14591
