iso_code,continent,location,date,new_cases
VNM,Asia,Vietnam,2020/6/9,0
VNM,Asia,Vietnam,2020/6/10,0
VNM,Asia,Vietnam,2020/6/11,0
VNM,Asia,Vietnam,2020/6/12,1
VNM,Asia,Vietnam,2020/6/13,1
VNM,Asia,Vietnam,2020/6/14,0
VNM,Asia,Vietnam,2020/6/15,0
VNM,Asia,Vietnam,2020/6/16,0
VNM,Asia,Vietnam,2020/6/17,1
VNM,Asia,Vietnam,2020/6/18,7
VNM,Asia,Vietnam,2020/6/19,7
VNM,Asia,Vietnam,2020/6/20,0
VNM,Asia,Vietnam,2020/6/21,0
VNM,Asia,Vietnam,2020/6/22,0
VNM,Asia,Vietnam,2020/6/23,0
VNM,Asia,Vietnam,2020/6/24,3
VNM,Asia,Vietnam,2020/6/25,0
VNM,Asia,Vietnam,2020/6/26,1
VNM,Asia,Vietnam,2020/6/27,2
VNM,Asia,Vietnam,2020/6/28,0
VNM,Asia,Vietnam,2020/6/29,0
VNM,Asia,Vietnam,2020/6/30,0
VNM,Asia,Vietnam,2020/7/1,0
VNM,Asia,Vietnam,2020/7/2,0
VNM,Asia,Vietnam,2020/7/3,0
VNM,Asia,Vietnam,2020/7/4,0
VNM,Asia,Vietnam,2020/7/5,0
VNM,Asia,Vietnam,2020/7/6,14
VNM,Asia,Vietnam,2020/7/7,0
VNM,Asia,Vietnam,2020/7/8,0
VNM,Asia,Vietnam,2020/7/9,0
VNM,Asia,Vietnam,2020/7/10,1
VNM,Asia,Vietnam,2020/7/11,0
VNM,Asia,Vietnam,2020/7/12,2
VNM,Asia,Vietnam,2020/7/13,1
VNM,Asia,Vietnam,2020/7/14,0
VNM,Asia,Vietnam,2020/7/15,8
VNM,Asia,Vietnam,2020/7/16,0
VNM,Asia,Vietnam,2020/7/17,1
VNM,Asia,Vietnam,2020/7/18,0
VNM,Asia,Vietnam,2020/7/19,1
VNM,Asia,Vietnam,2020/7/20,1
VNM,Asia,Vietnam,2020/7/21,17
VNM,Asia,Vietnam,2020/7/22,7
VNM,Asia,Vietnam,2020/7/23,4
VNM,Asia,Vietnam,2020/7/24,3
VNM,Asia,Vietnam,2020/7/25,2
VNM,Asia,Vietnam,2020/7/26,3
VNM,Asia,Vietnam,2020/7/27,11
VNM,Asia,Vietnam,2020/7/28,15
VNM,Asia,Vietnam,2020/7/29,13
VNM,Asia,Vietnam,2020/7/30,50
VNM,Asia,Vietnam,2020/7/31,49
VNM,Asia,Vietnam,2020/8/1,32
VNM,Asia,Vietnam,2020/8/2,31
VNM,Asia,Vietnam,2020/8/3,31
VNM,Asia,Vietnam,2020/8/4,20
VNM,Asia,Vietnam,2020/8/5,45
VNM,Asia,Vietnam,2020/8/6,33
VNM,Asia,Vietnam,2020/8/7,39
VNM,Asia,Vietnam,2020/8/8,23
VNM,Asia,Vietnam,2020/8/9,29
VNM,Asia,Vietnam,2020/8/10,6
VNM,Asia,Vietnam,2020/8/11,19
VNM,Asia,Vietnam,2020/8/12,17
VNM,Asia,Vietnam,2020/8/13,28
VNM,Asia,Vietnam,2020/8/14,19
VNM,Asia,Vietnam,2020/8/15,21
VNM,Asia,Vietnam,2020/8/16,13
VNM,Asia,Vietnam,2020/8/17,19
VNM,Asia,Vietnam,2020/8/18,6
VNM,Asia,Vietnam,2020/8/19,5
VNM,Asia,Vietnam,2020/8/20,13
VNM,Asia,Vietnam,2020/8/21,2
VNM,Asia,Vietnam,2020/8/22,5
VNM,Asia,Vietnam,2020/8/23,2
VNM,Asia,Vietnam,2020/8/24,6
VNM,Asia,Vietnam,2020/8/25,7
VNM,Asia,Vietnam,2020/8/26,5
VNM,Asia,Vietnam,2020/8/27,2
VNM,Asia,Vietnam,2020/8/28,2
VNM,Asia,Vietnam,2020/8/29,2
VNM,Asia,Vietnam,2020/8/30,0
VNM,Asia,Vietnam,2020/8/31,4
VNM,Asia,Vietnam,2020/9/1,0
VNM,Asia,Vietnam,2020/9/2,2
VNM,Asia,Vietnam,2020/9/3,0
VNM,Asia,Vietnam,2020/9/4,3
VNM,Asia,Vietnam,2020/9/5,0
VNM,Asia,Vietnam,2020/9/6,0
VNM,Asia,Vietnam,2020/9/7,0
VNM,Asia,Vietnam,2020/9/8,5
VNM,Asia,Vietnam,2020/9/9,5
VNM,Asia,Vietnam,2020/9/10,0
VNM,Asia,Vietnam,2020/9/11,1
VNM,Asia,Vietnam,2020/9/12,0
VNM,Asia,Vietnam,2020/9/13,3
VNM,Asia,Vietnam,2020/9/14,0
VNM,Asia,Vietnam,2020/9/15,0
VNM,Asia,Vietnam,2020/9/16,0
VNM,Asia,Vietnam,2020/9/17,3
VNM,Asia,Vietnam,2020/9/18,2
VNM,Asia,Vietnam,2020/9/19,0
VNM,Asia,Vietnam,2020/9/20,0
VNM,Asia,Vietnam,2020/9/21,0
VNM,Asia,Vietnam,2020/9/22,0
VNM,Asia,Vietnam,2020/9/23,1
VNM,Asia,Vietnam,2020/9/24,0
VNM,Asia,Vietnam,2020/9/25,0
VNM,Asia,Vietnam,2020/9/26,0
VNM,Asia,Vietnam,2020/9/27,5
VNM,Asia,Vietnam,2020/9/28,3
VNM,Asia,Vietnam,2020/9/29,17
VNM,Asia,Vietnam,2020/9/30,0
VNM,Asia,Vietnam,2020/10/1,1
VNM,Asia,Vietnam,2020/10/2,1
VNM,Asia,Vietnam,2020/10/3,0
VNM,Asia,Vietnam,2020/10/4,0
VNM,Asia,Vietnam,2020/10/5,1
VNM,Asia,Vietnam,2020/10/6,1
VNM,Asia,Vietnam,2020/10/7,1
VNM,Asia,Vietnam,2020/10/8,1
VNM,Asia,Vietnam,2020/10/9,5
VNM,Asia,Vietnam,2020/10/10,2
VNM,Asia,Vietnam,2020/10/11,2
VNM,Asia,Vietnam,2020/10/12,1
VNM,Asia,Vietnam,2020/10/13,3
VNM,Asia,Vietnam,2020/10/14,9
VNM,Asia,Vietnam,2020/10/15,2
VNM,Asia,Vietnam,2020/10/16,0
VNM,Asia,Vietnam,2020/10/17,2
VNM,Asia,Vietnam,2020/10/18,8
VNM,Asia,Vietnam,2020/10/19,6
VNM,Asia,Vietnam,2020/10/20,1
VNM,Asia,Vietnam,2020/10/21,3
VNM,Asia,Vietnam,2020/10/22,4
VNM,Asia,Vietnam,2020/10/23,0
VNM,Asia,Vietnam,2020/10/24,12
VNM,Asia,Vietnam,2020/10/25,8
VNM,Asia,Vietnam,2020/10/26,1
VNM,Asia,Vietnam,2020/10/27,3
VNM,Asia,Vietnam,2020/10/28,1
VNM,Asia,Vietnam,2020/10/29,4
VNM,Asia,Vietnam,2020/10/30,0
VNM,Asia,Vietnam,2020/10/31,3
VNM,Asia,Vietnam,2020/11/1,0
VNM,Asia,Vietnam,2020/11/2,12
VNM,Asia,Vietnam,2020/11/3,10
VNM,Asia,Vietnam,2020/11/4,1
VNM,Asia,Vietnam,2020/11/5,4
VNM,Asia,Vietnam,2020/11/6,5
VNM,Asia,Vietnam,2020/11/7,1
VNM,Asia,Vietnam,2020/11/8,0
VNM,Asia,Vietnam,2020/11/9,2
VNM,Asia,Vietnam,2020/11/10,11
VNM,Asia,Vietnam,2020/11/11,26
VNM,Asia,Vietnam,2020/11/12,1
VNM,Asia,Vietnam,2020/11/13,3
VNM,Asia,Vietnam,2020/11/14,9
VNM,Asia,Vietnam,2020/11/15,16
VNM,Asia,Vietnam,2020/11/16,2
VNM,Asia,Vietnam,2020/11/17,5
VNM,Asia,Vietnam,2020/11/18,12
VNM,Asia,Vietnam,2020/11/19,4
VNM,Asia,Vietnam,2020/11/20,1
VNM,Asia,Vietnam,2020/11/21,1
VNM,Asia,Vietnam,2020/11/22,1
VNM,Asia,Vietnam,2020/11/23,5
VNM,Asia,Vietnam,2020/11/24,4
VNM,Asia,Vietnam,2020/11/25,5
VNM,Asia,Vietnam,2020/11/26,10
VNM,Asia,Vietnam,2020/11/27,8
VNM,Asia,Vietnam,2020/11/28,2
VNM,Asia,Vietnam,2020/11/29,2
VNM,Asia,Vietnam,2020/11/30,4
VNM,Asia,Vietnam,2020/12/1,4
VNM,Asia,Vietnam,2020/12/2,7
VNM,Asia,Vietnam,2020/12/3,3
VNM,Asia,Vietnam,2020/12/4,0
VNM,Asia,Vietnam,2020/12/5,4
VNM,Asia,Vietnam,2020/12/6,1
VNM,Asia,Vietnam,2020/12/7,1
VNM,Asia,Vietnam,2020/12/8,10
VNM,Asia,Vietnam,2020/12/9,4
VNM,Asia,Vietnam,2020/12/10,4
VNM,Asia,Vietnam,2020/12/11,6
VNM,Asia,Vietnam,2020/12/12,4
VNM,Asia,Vietnam,2020/12/13,2
VNM,Asia,Vietnam,2020/12/14,5
VNM,Asia,Vietnam,2020/12/15,3
VNM,Asia,Vietnam,2020/12/16,0
VNM,Asia,Vietnam,2020/12/17,2
VNM,Asia,Vietnam,2020/12/18,3
VNM,Asia,Vietnam,2020/12/19,1
VNM,Asia,Vietnam,2020/12/20,2
VNM,Asia,Vietnam,2020/12/21,1
VNM,Asia,Vietnam,2020/12/22,6
VNM,Asia,Vietnam,2020/12/23,1
VNM,Asia,Vietnam,2020/12/24,11
VNM,Asia,Vietnam,2020/12/25,7
VNM,Asia,Vietnam,2020/12/26,1
VNM,Asia,Vietnam,2020/12/27,1
VNM,Asia,Vietnam,2020/12/28,10
VNM,Asia,Vietnam,2020/12/29,3
VNM,Asia,Vietnam,2020/12/30,2
VNM,Asia,Vietnam,2020/12/31,9
VNM,Asia,Vietnam,2021/1/1,9
VNM,Asia,Vietnam,2021/1/2,8
VNM,Asia,Vietnam,2021/1/3,12
VNM,Asia,Vietnam,2021/1/4,3
VNM,Asia,Vietnam,2021/1/5,7
VNM,Asia,Vietnam,2021/1/6,1
VNM,Asia,Vietnam,2021/1/7,4
VNM,Asia,Vietnam,2021/1/8,3
VNM,Asia,Vietnam,2021/1/9,1
VNM,Asia,Vietnam,2021/1/10,1
VNM,Asia,Vietnam,2021/1/11,1
VNM,Asia,Vietnam,2021/1/12,5
VNM,Asia,Vietnam,2021/1/13,1
VNM,Asia,Vietnam,2021/1/14,10
VNM,Asia,Vietnam,2021/1/15,5
VNM,Asia,Vietnam,2021/1/16,1
VNM,Asia,Vietnam,2021/1/17,0
VNM,Asia,Vietnam,2021/1/18,2
VNM,Asia,Vietnam,2021/1/19,1
VNM,Asia,Vietnam,2021/1/20,4
VNM,Asia,Vietnam,2021/1/21,2
VNM,Asia,Vietnam,2021/1/22,2
VNM,Asia,Vietnam,2021/1/23,0
VNM,Asia,Vietnam,2021/1/24,0
VNM,Asia,Vietnam,2021/1/25,1
VNM,Asia,Vietnam,2021/1/26,2
VNM,Asia,Vietnam,2021/1/27,2
VNM,Asia,Vietnam,2021/1/28,98
VNM,Asia,Vietnam,2021/1/29,6
VNM,Asia,Vietnam,2021/1/30,110
VNM,Asia,Vietnam,2021/1/31,50
VNM,Asia,Vietnam,2021/2/1,33
VNM,Asia,Vietnam,2021/2/2,32
VNM,Asia,Vietnam,2021/2/3,66
VNM,Asia,Vietnam,2021/2/4,9
VNM,Asia,Vietnam,2021/2/5,19
VNM,Asia,Vietnam,2021/2/6,9
VNM,Asia,Vietnam,2021/2/7,16
VNM,Asia,Vietnam,2021/2/8,49
VNM,Asia,Vietnam,2021/2/9,14
VNM,Asia,Vietnam,2021/2/10,27
VNM,Asia,Vietnam,2021/2/11,49
VNM,Asia,Vietnam,2021/2/12,2
VNM,Asia,Vietnam,2021/2/13,53
VNM,Asia,Vietnam,2021/2/14,33
VNM,Asia,Vietnam,2021/2/15,41
VNM,Asia,Vietnam,2021/2/16,42
VNM,Asia,Vietnam,2021/2/17,18
VNM,Asia,Vietnam,2021/2/18,18
VNM,Asia,Vietnam,2021/2/19,15
VNM,Asia,Vietnam,2021/2/20,6
